"Product Family","Status","Documents","Volume Pricing","Memory Type","Program Memory KBytes","Program Memory KWords","Self-write","EEPROM Data Memory","RAM","I/O Pins","Pin count","Max. CPU Speed MHz"," Internal Oscillator","# of A/D Ch.","Cap Touch Channels","Digital Communication","Timers","Temperature Range","Operation Voltage Range","Packages"
PIC16F1516 ,"Samples Available","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549050","$0.95","Flash","14","8","Yes","0","512","25","28","20","16 MHz, 32 kHz","17","17"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16F1517 ,"Samples Available","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549051","$1.32","Flash","14","8","Yes","0","512","36","40","20","16 MHz, 32 kHz","28","28"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 40/PDIP,40/UQFN,44/TQFP"
PIC16F1518 ,"Samples Available","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549052","$1.01","Flash","28","16","Yes","0","1024","25","28","20","16 MHz, 32 kHz","17","17"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16F1519 ,"Samples Available","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549053","$1.37","Flash","28","16","Yes","0","1024","36","40","20","16 MHz, 32 kHz","28","28"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 40/PDIP,40/UQFN,44/TQFP"
PIC16F1527 ,"Samples Available","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549055","$1.54","Flash","28","16","Yes","0","1536","55","64","20","16 MHz, 32 kHz","30","30"," 2 -A/E/USART  , 2 -MSSP(SPI/I2C)  "," 6 - 8-bit , 3 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 64/QFN,64/TQFP"
PIC16F1782 ,"Future Product","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en552738","Call for pricing","Flash","3.5","2","Yes","256","256","25","28","32","32 MHz, 32 kHz","11",," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V","Please call for package information"
PIC16F1783 ,"Future Product","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en552741","Call for pricing","Flash","7","4","Yes","256","512","25","28","32","32 MHz, 32 kHz","11",," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V","Please call for package information"
PIC16F1784 ,"Future Product","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en552743","Call for pricing","Flash","7","4","Yes","256","512","36","40","32","32 MHz, 32 kHz","14",," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V","Please call for package information"
PIC16F1786 ,"Future Product","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en552742","Call for pricing","Flash","14","8","Yes","256","1024","25","28","32","32 MHz, 32 kHz","11",," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V","Please call for package information"
PIC16F1787 ,"Future Product","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en552744","Call for pricing","Flash","14","8","Yes","256","1024","36","40","32","32 MHz, 32 kHz","14",," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V","Please call for package information"
